date,ticker,confidence,source_article_count,article_titles
2025-04-28,AMZN,low,1,Alphabet Sets a Positive Tone Ahead of Mega Tech Earnings Results This Week
2025-04-28,BRO,medium,1,"Brown & Brown, Inc. announces first quarter 2025 results, including total revenues of $1.4 billion, an increase of 11.6%; Organic Revenue growth of 6.5%; diluted net income per share of $1.15; Diluted Net Income Per Share - Adjusted of $1.29; and a quarterly dividend of $0.15 per share"
2025-04-28,NVDA,low,1,This Could Be a Make-It-or-Break-It Moment for Nvidia. Here's What to Watch For This Week.
2025-04-29,AMZN,low,1,"The Stock Market May Rise or Fall Sharply This Week Based on Key Reports From Amazon, Apple, Meta Platforms, and Microsoft"
2025-04-29,ARE,low,1,Why Alexandria Real Estate Stock Tumbled on Tuesday
2025-04-29,CDNS,low,1,Why Cadence Design Systems Stock Is Jumping Today
2025-04-29,ECL,low,1,"Ecolab Navigates Soft Demand, Tariffs With Margin Gains, Confirms Full-Year Forecast"
2025-04-29,GLW,low,1,"Gen AI Demand Ignites Corning Q1 Optical Communications Sales, Sees Continued Growth In Q2 Despite Tariff Woes"
2025-04-29,GOOG,low,1,"Strong Earnings, Bigger Buybacks: What’s Next for Alphabet's Stock After Q1 Report"
2025-04-29,HON,low,1,Why Honeywell Stock Is Up Today
2025-04-29,INTC,low,1,"Intel: Good Quarter, Bad Vibes, Guidance Rattles Investors"
2025-04-29,KO,medium,1,Should You Buy Coca-Cola Stock After Q1 Earnings Beat?
2025-04-29,PEP,low,1,PepsiCo Slashes 2025 Guidance. Is the High-Yield Dividend King Stock a Buy Anyway?
2025-04-29,PFE,low,1,"Pfizer's Covid Windfall Shrinks, Expands Cost-Cutting Efforts"
2025-04-29,PYPL,low,1,Economic Uncertainty Weighs on PayPal
2025-04-29,SPGI,low,1,Breaking Down S&P Global’s Multi-Engine Revenue Machine
2025-04-30,AMD,low,1,Cathie Wood Goes Bargain Hunting: 3 Stocks She Just Bought
2025-04-30,CAT,medium,1,Why Caterpillar Stock Is Volatile Today
2025-04-30,EBAY,medium,1,EBAY Gears Up to Post Q1 Earnings: What's in Store for the Stock?
2025-04-30,GEHC,low,2,"GE HealthCare Blames Tariffs For Lowering 2025 Profit Outlook, Initiates Stock Buyback|Tariffs Weigh on GE HealthCare Outlook"
2025-04-30,ITW,low,1,Why Illinois Tool Works Stock Is Under Pressure Today
2025-04-30,MSFT,low,1,S&P 500 Could Pull Back With Tech Earnings and Soft Data in Focus
2025-04-30,PYPL,low,1,"PayPal Gets Credit For Execution On Checkout And Venmo, But Questions Linger"
2025-04-30,SBUX,low,2,Why Starbucks Stock Is Sliding Today|Starbucks Serves Up Lukewarm Results
2025-04-30,SMCI,low,1,Supermicro Just Reported Its Customers Delayed AI Server Orders
2025-04-30,SWK,medium,1,"Stanley Black & Decker Braces For Tariff Impact, Lowers Outlook Despite Q1 Earnings Win"
2025-04-30,TSLA,low,1,"If Tesla Loses This 1 Quality, the Stock Could Crumble"
2025-04-30,V,low,1,Visa Earnings: Business as Usual
2025-04-30,YUM,low,1,Yum! Brands: Earnings Defy Revenue Dip
2025-05-01,AAPL,low,2,Apple Earnings Preview: Risk of a Guidance Cut May Eclipse Another EPS Beat|Apple: Growth in a Difficult Environment
2025-05-01,ABNB,low,1,Airbnb Sees a Possible Travel Slowdown
2025-05-01,AMD,low,1,"Qualcomm's Earnings: 2 Reasons to Buy, 1 to Stay Away"
2025-05-01,BAX,medium,1,"Baxter Reports Strong Medical Devices Sales In Q1, Lifts 2025 Guidance, Stock Jumps"
2025-05-01,BDX,low,1,"Potential Tariff Bites Into Becton Dickinson 2025 Profit Outlook, Company Will Invest $2.5 Billion To Boost US Manufacturing"
2025-05-01,BIIB,medium,1,"Biogen Beats Q1 Earnings Expectations As Two Newcomer Drug Sales Spike, Avoids Tariff Impact"
2025-05-01,CTSH,low,1,Why Cognizant Technology Solutions Stock Triumphed on Thursday
2025-05-01,CVS,low,1,"CVS Health Partners With Wegovy Maker Novo Nordisk, Hikes 2025 Guidance"
2025-05-01,GL,medium,1,"Globe Life Q1 Earnings Lag Estimates, Revenues & Premium Rise Y/Y"
2025-05-01,KIM,medium,1,Kimco Realty® Announces First Quarter 2025 Results
2025-05-01,LLY,medium,1,Why Eli Lilly Stock Is Sinking Today
2025-05-01,META,medium,1,Why Meta Platforms Is Soaring Today
2025-05-01,MRNA,low,1,"Moderna Expands Cost-Cutting Program By Up To $1.7 Billion, FDA Approval For Flu/COVID-19 Combo Shot Delayed Into 2026"
2025-05-01,MSFT,high,4,"Why Microsoft Stock Popped This Week|Microsoft Crushes Earnings, What’s Next for the Stock?|Why Microsoft Stock Is Skyrocketing Today|Nasdaq 100 Hits Resistance Near 20,000 After Microsoft, Meta Blowout Results"
2025-05-01,NVDA,low,1,Why Nvidia Stock Bounded Higher Thursday
2025-05-01,SMCI,low,2,Supermicro Stock Is Soaring Today. Should You Buy The Hot AI Stock Before May 6?|Here's Why I'm Staying Away from Super Micro Stock
2025-05-01,T,low,1,Is AT&T Stock Going to $34? 1 Wall Street Analyst Thinks So.
2025-05-01,VZ,low,1,3 Telecom Giants Reveal Shifting Momentum in Wireless Subscriber Trends
2025-05-02,AAPL,low,1,Breakfast News: China Considers Trade Talks
2025-05-02,AMGN,medium,1,Amgen's Better Than Expected Q1 Earnings Take Backseat As Eyes Are On MariTide Obesity Data
2025-05-02,CAH,low,1,"Cardinal Health Lifts FY25 EPS Outlook, Sees Growth Despite Tariff Risks"
2025-05-02,ETN,medium,1,"Eaton Sees Q1 Organic Sales Surge 9%, Boosts 2025 Guidance"
2025-05-02,MSI,low,1,Why Shares of Motorola Solutions Sank Today
2025-05-02,PH,low,1,"Parker-Hannifin Trims Outlook, But CEO Says Firm Ready To Handle Tariff Uncertainty"
2025-05-02,XOM,medium,2,"Exxon Mobil Q1: Steady Production, Focus On Cost Cuts And Stock Buyback|Exxon, Chevron Q1 Earnings on Deck: Oil Price Plunge Puts the Squeeze on Results"
2025-05-05,AMD,low,1,Will This Be the Catalyst AMD Stock Investors Are Waiting For?
2025-05-05,AMZN,low,2,"Amazon: Why The Great Comeback Rally Could Be About to Begin|Is Amazon a Buy After Earnings? Not Compared to These ""Magnificent Seven"" Stocks"
2025-05-05,CCL,low,1,Is Carnival About to Sail Into Rough Waters?
2025-05-05,CMI,low,1,"Cummins Beats On EPS, Misses On Revenue — But Keeps Engine Running Despite Uncertainty"
2025-05-05,F,medium,1,Here's Why Ford Motor Stock Is a Buy Before May 5
2025-05-05,HSIC,medium,1,"Henry Schein's Reports Mixed Bag Q1 Earnings, CEO Confident In Business Fundamentals"
2025-05-05,KO,low,1,"Is Buffett's Beverage Giant Still a Sweet Investment? Coca-Cola Beats Estimates and Deems Tariffs ""Manageable"""
2025-05-05,META,medium,2,Meta Platforms Is Ramping Up Data Center and AI Investments. Is the Growth Stock a Buy Now?|Big Tech Breathes Life into Q1 Earnings
2025-05-05,MSFT,low,1,My Top AI Growth Stock to Buy in May (and It's Not Even Close)
2025-05-05,PLTR,medium,1,Prediction: Palantir Technologies Won't Live Up to the Hype on May 5
2025-05-05,SMCI,low,1,"What Super Micro, Unity Software, and Altera Labs Stock Investors Should Know About Upcoming Earnings"
2025-05-06,AEP,low,1,American Electric Power Reaffirms 2025 Outlook With Minimal Tariff Risk On $54B Grid Investment Plan
2025-05-06,AMD,medium,2,Prediction: This Magnificent Artificial Intelligence (AI) Semiconductor Stock Will Soar After May 6|Should You Buy AMD Stock Before May 6?
2025-05-06,AMZN,low,1,"Amazon, Meta, Microsoft Earnings Put Dan Loeb's Portfolio To The Test"
2025-05-06,CEG,low,1,Why Constellation Energy Stock Popped on Tuesday
2025-05-06,CLX,medium,1,Why Clorox Stock Sank Today
2025-05-06,DDOG,medium,1,Datadog Announces First Quarter 2025 Financial Results
2025-05-06,DUK,medium,1,"Duke Energy's Segment Strength Fuels Q1 Beat, Reaffirms Guidance"
2025-05-06,MPC,low,1,Marathon Petroleum Refining Margins Fall Drags Q1 Profit
2025-05-06,PLTR,medium,2,Palantir Posts Strong Earnings and Lifts Guidance — So Why Is Stock Down 9%?|Palantir Investors Just Got Spectacular News From CEO Alex Karp
