"path","date","ticker","model_rank","news_neg_count_5d","ret_5d_pct","verdict","legal_keyword_hit","hit_terms","title","reasoning","keywords"
"us_pipeline/experience/cases/2025-10-29__DECK__conflict_buy_news_negative.md","2025-10-29","DECK","25","2","-1.34","news_won","False","","My 2 Favorite Stocks to Buy Right Now","Stock is down 60% from peak due to tariff pressures and weak consumer spending, but has solid international growth, strong brands (Hoka and Ugg), and trades at a low forward P/E ratio of 14","stocks, investment, tariffs, streaming, consumer discretionary"
"us_pipeline/experience/cases/2025-10-30__DECK__conflict_buy_news_negative.md","2025-10-30","DECK","24","3","0.33","neutral","False","","Move Over The Trade Desk, There's a New ""Worst"" Stock in 2025","Stock down 56% in 2025, reduced sales growth projections for Hoka and Ugg brands, and projected lower gross margin from 58% to 56%","Deckers, stock performance, sales growth, gross margin, shoe brands"
"us_pipeline/experience/cases/2025-11-12__SNPS__conflict_buy_news_negative.md","2025-11-12","SNPS","28","5","-2.11","news_won","True","class action;lawsuit;misleading statements;securities fraud;shareholder","DEADLINE ALERT for AVTR, SNPS, KMX: Law Offices of Howard G. Smith Reminds Shareholders of Opportunity to Lead Securities Fraud Class Actions","Claims of misleading statements about AI customer focus and deteriorating business economics","securities fraud, class action, shareholder lawsuit, investor rights"
"us_pipeline/experience/cases/2025-11-26__DXCM__conflict_buy_news_negative.md","2025-11-26","DXCM","24","4","3.18","model_won","True","class action;securities litigation;shareholder","Bragar Eagel & Squire, P.C. Urges DexCom and Wildermuth Investors to Contact the Firm Regarding Their Rights","Allegations of making unauthorized device design changes, compromising medical device reliability and potentially presenting health risks to users","class action, shareholder rights, securities litigation, FDA, investment fund"
"us_pipeline/experience/cases/2025-11-26__SNPS__conflict_buy_news_negative.md","2025-11-26","SNPS","29","9","11.66","model_won","True","class action;lawsuit;misleading statements;securities fraud;shareholder","DEADLINE ALERT for AVTR, SNPS, KMX, INSP: Law Offices of Howard G. Smith Reminds Shareholders of Opportunity to Lead Securities Fraud Class Actions","Claims of deteriorating business economics due to AI customer focus and unlikely resource decisions","securities fraud, class action, shareholder lawsuit, misleading statements"
"us_pipeline/experience/cases/2025-12-04__ARE__conflict_buy_news_negative.md","2025-12-04","ARE","30","6","2.55","model_won","True","class action;false statements;lawsuit;securities fraud","ARE INVESTOR ALERT: Bronstein, Gewirtz & Grossman LLC Announces that Alexandria Real Estate Equities, Inc. Investors with Substantial Losses Have Opportunity to Lead Class Action Lawsuit","The lawsuit alleges the company made materially false statements about their property's value, concealed adverse facts, and misrepresented their business operations and prospects","class action, securities fraud, real estate, investor lawsuit"
"us_pipeline/experience/cases/2025-12-18__ORCL__conflict_buy_news_negative.md","2025-12-18","ORCL","23","18","1.78","model_won","False","","Micron Just Gave Amazing News to AI Stock Investors","Mentioned in author's disclosure but not substantively discussed in the article","AI, semiconductor, technology, stock market, revenue guidance"
"us_pipeline/experience/cases/2025-12-24__ARE__conflict_buy_news_negative.md","2025-12-24","ARE","17","3","1.93","model_won","True","class action;lawsuit;securities fraud","Alexandria Real Estate Equities Securities Fraud Class Action Result of Financial Issues and Approximately 19% Stock Decline - Investors may Contact Lewis Kahn, Esq, at Kahn Swick & Foti, LLC","The company failed to disclose material financial information, resulting in a 19% single-day stock decline following disappointing Q3 earnings, lower occupancy rates, reduced guidance, and a significant $323.9 million real estate impairment charge. These factors triggered a securities fraud class action lawsuit.","securities fraud, class action lawsuit, financial disclosure, stock decline, real estate impairment"
"us_pipeline/experience/cases/2025-12-30__ARE__conflict_buy_news_negative.md","2025-12-30","ARE","27","5","8.85","model_won","True","class action;false statements;lawsuit;securities fraud","Deadline Alert: Alexandria Real Estate Equities, Inc. (ARE) Shareholders Who Lost Money Urged To Contact Glancy Prongay & Murray LLP About Securities Fraud Lawsuit","The company missed consensus earnings estimates, cut full-year FFO guidance, disclosed a $323.9 million impairment charge, and experienced a 19.2% stock price decline. Additionally, allegations of materially false statements regarding the Long Island City property's value and occupancy stability form the basis of the securities fraud lawsuit.","securities fraud, class action lawsuit, earnings miss, impairment charge, Long Island City"
"us_pipeline/experience/cases/2026-02-05__CVNA__conflict_buy_news_negative.md","2026-02-05","CVNA","11","2","-15.06","news_won","True","class action;investigation;lawsuit;securities fraud","CVNA ANNOUNCEMENT: If You Have Suffered Losses in Carvana (NYSE: CVNA), You Are Encouraged to Contact The Rosen Law Firm About Your Rights","Carvana faces allegations of issuing materially misleading business information regarding earnings dependency on related-party companies. The disclosure triggered a 14% stock price decline and prompted a securities class action investigation, indicating significant investor harm and loss of confidence.","securities fraud, class action lawsuit, misleading earnings, stock price decline, investor losses"
